# Generated file. DO NOT hand-edit rows -- regenerate the route set instead.
#
# Columns: method, path, role, bucket, notes  (tab-separated)
#
# Provenance: method/path/role come verbatim from
#   oxy_app::server::router::route_declarations() (crates/app/src/server/router/mod.rs).
# bucket/notes come from internal-docs/2026-08-25-fleet-http-route-coverage.md, whose
# own methodology built this same list the same way (see that doc's Methodology
# section) -- cross-checked here 1:1 against a fresh route_declarations() dump, 224/224
# rows matched with zero unmatched on either side. Four rows are marked RESOLVED where
# this task's investigation replaced the doc's 'Undetermined' verdict with a real answer
# (two real bugs kept in bucket=Now so fleet-assert.sh asserts them and fails loudly;
# two false alarms moved to bucket=Ext, see their notes).
#
# To regenerate the method/path/role columns: add a temporary #[test] to
#   crates/app/tests/route_role_derivation.rs that calls
#   oxy_app::server::router::route_declarations(), formats each (method, path, role)
#   tuple sorted+deduped, and writes it to a scratch file. Run it with:
#   cargo nextest run -p oxy-app --test route_role_derivation -E 'test(zzz_dump...)'
#   then delete the temporary test (git diff against the test file must come back
#   empty). This is the exact recipe internal-docs/2026-08-25-fleet-http-route-coverage.md
#   itself documents using, and the one this file's current 224 rows came from.
#
# bucket values: Now (buildable today) | Fixture (needs a fixture, mostly uncovered
#   here) | Destr (destructive; only disposable create/read/delete lifecycles are run)
#   | Ext (not buildable -- needs an external system/credential absent from this fleet)
#   | Struct (404 by construction -- a nest_all/nest_typed bare-prefix companion, not
#   independently addressable; the real surface is the neighboring {*rest} row).
*	/api/{workspace_id}/abort-rebase	ide-only	Fixture	only meaningful mid-conflict; needs a fixture that induces one
*	/api/{workspace_id}/agentic-airway/{*rest}	ide-only	Fixture	`POST /runs` needs a real `pipeline_ref` — 5 exist (verified live via `airway-pipelines`); `sql_ingest`/`clickhouse_ingest`/`weather`/`toast_pos`/`ubereats` each need a real upstream credential to *complete*, so starting is Fixture-bucket, finishing may land in Ext depending which pipeline you pick
GET	/api/{workspace_id}/agentic-airway/backfill-ranges	fleet-ok	Fixture	needs a real `pipeline_ref`
GET	/api/{workspace_id}/agentic-airway/coverage	fleet-ok	Fixture	same
GET	/api/{workspace_id}/agentic-airway/runs	fleet-ok	Now	verified live: the `400` seen was only a missing-`pipeline_ref` error — buildable with any of the 5 real refs
*	/api/{workspace_id}/agentic-automations/{*rest}	ide-only	Fixture	`POST /runs` needs a real `workflow_ref` — 23 automations exist; `/files` reads real automation files
GET	/api/{workspace_id}/agentic-automations/runs	fleet-ok	Now	verified live: `400` = missing-param, not failure; buildable with a real `workflow_ref`
GET	/api/{workspace_id}/agentic-automations/runs/{id}	fleet-ok	Fixture	needs a real run id — start one first
GET	/api/{workspace_id}/agentic-automations/threads/{thread_id}/run	fleet-ok	Now	use one of the 3 real thread ids; empty is a valid response
*	/api/{workspace_id}/agentic-schedules	fleet-ok	Now	verified live 200 — 1 real schedule ("Health check"); `POST` create is disposable
